# of Solutions,avg. Solution Length,Time (micro-seconds),Median Solution Length, Median Set Value,Sum of Set,Target Value,SpecificSolutionLength,SpecificSolutionMedian,Occurence
0,0.0000,555,0,383,0,0,0,0,
0,0.0000,437,0,478,0,0,0,0,
0,0.0000,660,0,656,0,0,0,0,
0,0.0000,76,0,315,0,0,12,315,
0,0.0000,470,0,457,0,0,12,276,
0,0.0000,555,0,710,0,0,0,0,
0,0.0000,82,0,311,0,0,12,440,
0,0.0000,474,0,669,0,0,0,0,
0,0.0000,985,0,446,0,0,0,0,
0,0.0000,241,0,352,0,0,13,262,
0,0.0000,426,0,301,0,0,13,77,
0,0.0000,466,0,328,0,0,13,328,
0,0.0000,1236,0,569,0,0,0,0,
0,0.0000,267,0,358,0,0,13,639,
0,0.0000,36,0,663,0,0,14,663,
0,0.0000,250,0,360,0,0,14,360,
0,0.0000,293,0,583,0,0,14,283,
0,0.0000,555,0,679,0,0,14,679,
0,0.0000,1518,0,548,0,0,14,335,
0,0.0000,390,0,426,0,0,14,297,
0,0.0000,1321,0,656,0,0,15,199,
0,0.0000,154,0,488,0,0,15,333,
0,0.0000,172,0,482,0,0,15,236,
0,0.0000,4685,0,585,0,0,0,0,
0,0.0000,2085,0,365,0,0,15,282,
0,0.0000,195,0,481,0,0,15,361,
0,0.0000,373,0,473,0,0,16,351,
0,0.0000,371,0,405,0,0,16,392,
0,0.0000,108,0,573,0,0,16,337,
0,0.0000,990,0,268,0,0,16,871,
0,0.0000,788,0,658,0,0,16,442,
0,0.0000,190,0,567,0,0,16,418,
0,0.0000,811,0,164,0,0,17,98,
0,0.0000,17769,0,706,0,0,0,0,
0,0.0000,459,0,408,0,0,17,283,
0,0.0000,16751,0,568,0,0,0,0,
0,0.0000,212,0,414,0,0,17,178,
0,0.0000,1345,0,478,0,0,17,523,
0,0.0000,118,0,549,0,0,18,341,
0,0.0000,210,0,664,0,0,18,563,
0,0.0000,365,0,301,0,0,18,267,
0,0.0000,1795,0,378,0,0,18,67,
0,0.0000,436,0,554,0,0,18,356,
0,0.0000,865,0,663,0,0,18,27,
0,0.0000,5082,0,510,0,0,19,630,
